,Venue,Venue_id,Category,Location.lat,Location.lng
63,MExpress Auto Detailing,58ba6f9a1d21ba1e3b92ecde,Auto Workshop,43.82569,-79.358665
64,Esso,530b8afc498e31ec5d20597f,Gas Station,43.7312,-79.288
65,Circle K Carwash,5ad924cfc666666ab5c22510,Car Wash,43.775458,-79.347965
66,Esso,4c210f28ebe52d7ffa983178,Gas Station,43.6911309461129,-79.28799150210405
67,Robs Complete Car Care,4fd269d9e4b0b31b840a96c9,Car Wash,43.76318477450299,-79.27700589337387
68,OP Carwash,4fa54edde4b09d4d4579d70b,Car Wash,43.71374314040043,-79.30630791914216
69,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
70,Hybrid Auto Cleaning Service,50a508d3e4b0d190c5f1a474,Car Wash,43.771875,-79.262074
71,Superwash,52cda79211d2f946cc02518f,Car Wash,43.82248306274414,-79.32553100585938
72,Nahwi Car Care,52bf4925498eada038b5640b,Car Wash,43.64301742643359,-79.37766965665584
73,Parkway Car Was,4f5a70fce4b0300585a66f14,Car Wash,43.77460023433525,-79.33809824346469
74,Auto Groom (3rd Floor OMP Parking),4f3e52c1e4b0eebf130e4920,Car Wash,43.66974146549747,-79.37936873192209
75,SteamJet Auto Cleaning,50ad42d0e4b013e1bd4d3db8,Car Wash,43.64778705733645,-79.37802157124443
76,Professional Interior & Exterior Detailing,4fff05aee4b00c7849be0e7d,Car Wash,43.776852,-79.250694
77,Avenue Car & Truck Rentals,5162d00ae4b0d7d62e65c265,Car Wash,43.757928,-79.276076
78,Colonial car wash,4caf3dd439458cfabdbdf89f,Car Wash,43.73258796319562,-79.26909541468808
79,Jet Kleen,4b4a0abbf964a520c37826e3,Car Wash,43.7175938317509,-79.30539590991975
80,Shell,4f1c5e8fe4b064e65cf513f0,Gas Station,43.688015437548245,-79.2837529014047
81,Big Wax Car Wash,4db2feb71e7248d135820b3d,Car Wash,43.65107412592739,-79.36303530270054
82,Rambo Car Care,57ded17bcd10fe734c50b69b,Car Wash,43.762402,-79.410942
83,Esso Car Wash,51216e09e4b06dc366d29e30,Car Wash,43.654307701562175,-79.3377461774713
84,PetroCanada Car Wash,56e16e5a498ebcd3b86aed5c,Car Wash,43.72597697105767,-79.29756890764523
85,Traditions Auto Service - Coin-Op Carwash,5c843fd486bc49003902b312,Car Wash,43.697437,-79.27556
86,Cato's Auto Salon,52176f4b11d29f20100056b6,Car Wash,43.66999856149801,-79.39292722488099
87,Coin Op Car Wash,4d7d16fd5a396dcb65d781fb,Car Wash,43.70349107534574,-79.45147638779915
88,Petro-Canada Touchless Carwash,520fa63811d232287e513570,Car Wash,43.817413330078125,-79.33455657958984
89,Esso,4baba429f964a520fabb3ae3,Gas Station,43.722746514447074,-79.33895830284276
90,Big Wax Car Wash,4db2feb71e7248d135820b3d,Car Wash,43.65107412592739,-79.36303530270054
91,Petro-Canada,4e2312721495f18f035e5e05,Gas Station,43.660205,-79.51294
92,Mr. Shine Car Wash,5a9392c448b04e6e4c60239b,Car Wash,43.687534,-79.30598
93,Petro-Canada,4d1e0a25dd6a236aad1b2338,Gas Station,43.63635388508989,-79.47546326286736
94,Canadian Tire Gas+,4c34cbd6213c2d7f1419395d,Gas Station,43.71963763889704,-79.30481662180023
95,Canadian Tire Gas+,4c4685ab19fde21ea3c70576,Gas Station,43.67283952465455,-79.387527707766
96,Canadian Tire Gas+,4bf46bcde5eba593baa61f90,Gas Station,43.735243,-79.253597
97,0098 Optimum Car Care,56872f58498e36861fd7da29,Car Wash,43.7344798,-79.44647570000001
98,Canadian Tire Gas+,4eafdc899a521bacdb725f1d,Gas Station,43.700508950663526,-79.45161374468023
99,Petro-Canada,4d222c352eb1f04d2e0dfec1,Gas Station,43.680812,-79.475829
100,Colonial car wash,4caf3dd439458cfabdbdf89f,Car Wash,43.73258796319562,-79.26909541468808
101,Richmond Hand Car Wash & Detailing,5d5ed8c63c6e63000740edb6,Car Wash,43.649427,-79.392417
102,The Beaches Coin-Op Carwash,4b942458f964a520dd6a34e3,Car Wash,43.667473,-79.313174
103,Junction Car Wash,5c2150b3ee7120002cf9cc28,Car Wash,43.665367,-79.476261
104,Esso Touchless Car Wash,56633dfb498e22046a52543b,Car Wash,43.72566,-79.314586
105,Silver Star Car Wash,4c1155b26e5dc9b639ecaf2d,Car Wash,43.70931545540021,-79.45376678691572
106,Jet Kleen,4b4a0abbf964a520c37826e3,Car Wash,43.7175938317509,-79.30539590991975
107,Shell,4f1c5e8fe4b064e65cf513f0,Gas Station,43.688015437548245,-79.2837529014047
108,Anna Car Wash,5aa94d0f8173cb153e8e92e0,Car Wash,43.671927,-79.385537
109,U-Haul Neighborhood Dealer,590364670123587260a3cf71,Car Wash,43.652317,-79.402084
110,Davinci Detailing Depot,4f3a809ae4b026b7f744bd0f,Car Wash,43.684188703955236,-79.48328366894417
111,Esso Car Wash,51216e09e4b06dc366d29e30,Car Wash,43.654307701562175,-79.3377461774713
112,OLCO Queensway Carwash,4b5f6524f964a520d8b729e3,Car Wash,43.624258900077564,-79.5109224242214
113,Traditions Auto Service - Coin-Op Carwash,5c843fd486bc49003902b312,Car Wash,43.697437,-79.27556
114,PetroCanada Car Wash,56e16e5a498ebcd3b86aed5c,Car Wash,43.72597697105767,-79.29756890764523
115,Petro-Canada Car Wash,5a9cab07065ef5259c21d9d1,Car Wash,43.63616,-79.475334
116,Coin Op Car Wash,4d7d16fd5a396dcb65d781fb,Car Wash,43.70349107534574,-79.45147638779915
117,Cato's Auto Salon,52176f4b11d29f20100056b6,Car Wash,43.66999856149801,-79.39292722488099
118,Jet Kleen Car Wash,4dbc450a4b222080d38d1dad,Automotive Shop,43.67207115275437,-79.46749630955917
119,Parkview Hills Car Spa,4ba3c241f964a520335c38e3,Automotive Shop,43.705025414827276,-79.31332474283943
120,Martino Bros. Car Wash,535279d6498eef77e3b94f72,Car Wash,43.6656,-79.4838
121,Petro-Canada,4cc89a5cd54fa1cdde933229,Gas Station,43.705891,-79.487841
122,Petro-Canada,4c02cd35f56c2d7fe6fa1b66,Gas Station,43.725905,-79.296675
123,Esso,530b8afc498e31ec5d20597f,Gas Station,43.7312,-79.288
124,Esso,4baba429f964a520fabb3ae3,Gas Station,43.722746514447074,-79.33895830284276
125,Esso,4c210f28ebe52d7ffa983178,Gas Station,43.6911309461129,-79.28799150210405
126,Bizzy Boy Auto Detailers,518bca45498e1c05ba913df4,Car Wash,43.69964,-79.472484
127,SteamJet Auto Cleaning,50ad42d0e4b013e1bd4d3db8,Car Wash,43.64778705733645,-79.37802157124443
128,OP Carwash,4fa54edde4b09d4d4579d70b,Car Wash,43.71374314040043,-79.30630791914216
129,Nahwi Car Care,52bf4925498eada038b5640b,Car Wash,43.64301742643359,-79.37766965665584
130,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
131,Auto Groom (3rd Floor OMP Parking),4f3e52c1e4b0eebf130e4920,Car Wash,43.66974146549747,-79.37936873192209
132,Keele Carwash Coin-Op,4f8d01d46b742e3bfcf42afc,Car Wash,43.7059027564556,-79.47715759277344
133,Petro-Canada,4d0cee3c257d6dcb5eed9867,Gas Station,43.719201,-79.603167
134,Petro-Canada,4e2312721495f18f035e5e05,Gas Station,43.660205,-79.51294
135,Nanak Car Wash,4e6aba30091a37e2ddc64131,Car Wash,43.770153889272954,-79.36979036590805
136,Petro-Canada,4cc89a5cd54fa1cdde933229,Gas Station,43.705891,-79.487841
137,Petro-Canada,4b928449f964a5200c0034e3,Gas Station,43.78979,-79.545822
138,Petro-Canada,4bc20ef62a89ef3b9121f388,Gas Station,43.690516,-79.574127
139,Canadian Tire Gas+,4db48b6f4df05e5aaae21a1f,Gas Station,43.77052621408672,-79.37312571119537
140,Petro-Pass Truck Stop,57f799f2498ecadc383b59c9,Gas Station,43.759525,-79.489949
141,Canadian Tire Gas+,4c4685ab19fde21ea3c70576,Gas Station,43.67283952465455,-79.387527707766
142,Petro-Canada,4d1e0a25dd6a236aad1b2338,Gas Station,43.63635388508989,-79.47546326286736
143,Mr Shine,517bd64b498e8b8341545f1c,Car Wash,43.76860601720719,-79.3862966772419
144,Esso,4bda3aca3904a593a7ca459e,Gas Station,43.768180407754336,-79.46737834757252
145,Esso,4baba429f964a520fabb3ae3,Gas Station,43.722746514447074,-79.33895830284276
146,Canadian Tire Gas+,516499afe4b04a934b547361,Gas Station,43.74270475007968,-79.594644104551
147,Petro-Canada,4e3451c8a8092599edf8be1c,Gas Station,43.759759,-79.590726
148,Petro-Canada,4d222c352eb1f04d2e0dfec1,Gas Station,43.680812,-79.475829
149,Popular Car Wash & Detailing - Free Vacuums,4ef5036b754ac34454590eb8,Car Wash,43.713492,-79.5824237
150,Circle K Carwash,5ad924cfc666666ab5c22510,Car Wash,43.775458,-79.347965
151,AAA AUTO SPA MOBILE CAR DETAILING,57c5d5ce498ec95b54afa201,Car Wash,43.78059136684751,-79.48710322380066
152,Star Steam,510be4dae4b0b0ec5e4f6a33,Car Wash,43.784163,-79.477228
153,Speedy Auto Service,4e56517ba809ca773dfe755e,Automotive Shop,43.63114627999663,-79.54612688068397
154,SteamJet Auto Cleaning,50ad42d0e4b013e1bd4d3db8,Car Wash,43.64778705733645,-79.37802157124443
155,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
156,Ecomobile Auto Spa,51eead7a498ea99f321f6e54,Car Wash,43.743056,-79.527732
157,Auto Groom (3rd Floor OMP Parking),4f3e52c1e4b0eebf130e4920,Car Wash,43.66974146549747,-79.37936873192209
158,Junction Car Wash,5c2150b3ee7120002cf9cc28,Car Wash,43.665367,-79.476261
159,Steeles Car Wash,4f511a4be4b00ad2ab11bbc1,Car Wash,43.78252753120094,-79.48640786410006
160,Big Wax Car Wash,4db2feb71e7248d135820b3d,Car Wash,43.65107412592739,-79.36303530270054
161,Esso Touchless Car Wash,59dab5188a6f170c2fa1609f,Car Wash,43.798141,-79.419906
162,Esso,5bfb242d1c0b34002cfb0366,Gas Station,43.769731,-79.548212
163,Autobahn,51aa1c51498e35a6097d7089,Car Wash,43.822732,-79.48359
164,Esso Touchless Car Wash,52ffa137498e9ccff8cb1526,Car Wash,43.62392584986219,-79.5156655639394
165,Jet Kleen Car Wash,4dbc450a4b222080d38d1dad,Automotive Shop,43.67207115275437,-79.46749630955917
166,Rambo Car Care,57ded17bcd10fe734c50b69b,Car Wash,43.762402,-79.410942
167,Davinci Detailing Depot,4f3a809ae4b026b7f744bd0f,Car Wash,43.684188703955236,-79.48328366894417
168,Coin Op Car Wash,4d7d16fd5a396dcb65d781fb,Car Wash,43.70349107534574,-79.45147638779915
169,Esso Car Wash,51216e09e4b06dc366d29e30,Car Wash,43.654307701562175,-79.3377461774713
170,Cato's Auto Salon,52176f4b11d29f20100056b6,Car Wash,43.66999856149801,-79.39292722488099
171,Esso Carwash,4fb0ec32e4b084c29a0d1fab,Car Wash,43.780479,-79.444064
172,Martino Bros. Car Wash,535279d6498eef77e3b94f72,Car Wash,43.6656,-79.4838
173,Cato's Auto Salon,52176f4b11d29f20100056b6,Car Wash,43.66999856149801,-79.39292722488099
174,Petro-Canada,4e2312721495f18f035e5e05,Gas Station,43.660205,-79.51294
175,Mr. Shine Car Wash,5a9392c448b04e6e4c60239b,Car Wash,43.687534,-79.30598
176,Petro-Canada,4d1e0a25dd6a236aad1b2338,Gas Station,43.63635388508989,-79.47546326286736
177,Canadian Tire Gas+,4c4685ab19fde21ea3c70576,Gas Station,43.67283952465455,-79.387527707766
178,Canadian Tire Gas+,4c34cbd6213c2d7f1419395d,Gas Station,43.71963763889704,-79.30481662180023
179,0098 Optimum Car Care,56872f58498e36861fd7da29,Car Wash,43.7344798,-79.44647570000001
180,Canadian Tire Gas+,4fe92ec6e4b0a5a17c1033a9,Gas Station,43.725071,-79.481028
181,Canadian Tire Gas+,4eafdc899a521bacdb725f1d,Gas Station,43.700508950663526,-79.45161374468023
182,Petro-Canada,4c02cd35f56c2d7fe6fa1b66,Gas Station,43.725905,-79.296675
183,Petro-Canada,4cc89a5cd54fa1cdde933229,Gas Station,43.705891,-79.487841
184,Petro-Canada,4d222c352eb1f04d2e0dfec1,Gas Station,43.680812,-79.475829
185,Jet Kleen,4b4a0abbf964a520c37826e3,Car Wash,43.7175938317509,-79.30539590991975
186,Esso Touchless Car Wash,56633dfb498e22046a52543b,Car Wash,43.72566,-79.314586
187,Richmond Hand Car Wash & Detailing,5d5ed8c63c6e63000740edb6,Car Wash,43.649427,-79.392417
188,Silver Star Car Wash,4c1155b26e5dc9b639ecaf2d,Car Wash,43.70931545540021,-79.45376678691572
189,The Beaches Coin-Op Carwash,4b942458f964a520dd6a34e3,Car Wash,43.667473,-79.313174
190,Junction Car Wash,5c2150b3ee7120002cf9cc28,Car Wash,43.665367,-79.476261
191,Anna Car Wash,5aa94d0f8173cb153e8e92e0,Car Wash,43.671927,-79.385537
192,Shell,4f1c5e8fe4b064e65cf513f0,Gas Station,43.688015437548245,-79.2837529014047
193,Big Wax Car Wash,4db2feb71e7248d135820b3d,Car Wash,43.65107412592739,-79.36303530270054
194,PetroCanada Car Wash,56e16e5a498ebcd3b86aed5c,Car Wash,43.72597697105767,-79.29756890764523
195,Petro-Canada Car Wash,5a9cab07065ef5259c21d9d1,Car Wash,43.63616,-79.475334
196,Traditions Auto Service - Coin-Op Carwash,5c843fd486bc49003902b312,Car Wash,43.697437,-79.27556
197,Davinci Detailing Depot,4f3a809ae4b026b7f744bd0f,Car Wash,43.684188703955236,-79.48328366894417
198,U-Haul Neighborhood Dealer,590364670123587260a3cf71,Car Wash,43.652317,-79.402084
199,Esso Car Wash,51216e09e4b06dc366d29e30,Car Wash,43.654307701562175,-79.3377461774713
200,Coin Op Car Wash,4d7d16fd5a396dcb65d781fb,Car Wash,43.70349107534574,-79.45147638779915
201,Parkview Hills Car Spa,4ba3c241f964a520335c38e3,Automotive Shop,43.705025414827276,-79.31332474283943
202,Jet Kleen Car Wash,4dbc450a4b222080d38d1dad,Automotive Shop,43.67207115275437,-79.46749630955917
203,Keele Carwash Coin-Op,4f8d01d46b742e3bfcf42afc,Car Wash,43.7059027564556,-79.47715759277344
204,OLCO Queensway Carwash,4b5f6524f964a520d8b729e3,Car Wash,43.624258900077564,-79.5109224242214
205,Esso,4baba429f964a520fabb3ae3,Gas Station,43.722746514447074,-79.33895830284276
206,Esso,4c210f28ebe52d7ffa983178,Gas Station,43.6911309461129,-79.28799150210405
207,Martino Bros. Car Wash,535279d6498eef77e3b94f72,Car Wash,43.6656,-79.4838
208,Rambo - The Car Cleaning Experts,4fc8f99ae4b032a186903686,Car Wash,43.755837,-79.437241
209,SteamJet Auto Cleaning,50ad42d0e4b013e1bd4d3db8,Car Wash,43.64778705733645,-79.37802157124443
210,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
211,Auto Groom (3rd Floor OMP Parking),4f3e52c1e4b0eebf130e4920,Car Wash,43.66974146549747,-79.37936873192209
212,Bizzy Boy Auto Detailers,518bca45498e1c05ba913df4,Car Wash,43.69964,-79.472484
213,OP Carwash,4fa54edde4b09d4d4579d70b,Car Wash,43.71374314040043,-79.30630791914216
214,Nahwi Car Care,52bf4925498eada038b5640b,Car Wash,43.64301742643359,-79.37766965665584
215,Petro-Canada,4e2312721495f18f035e5e05,Gas Station,43.660205,-79.51294
216,Petro-Canada,4d0cee3c257d6dcb5eed9867,Gas Station,43.719201,-79.603167
217,Petro-Canada,4bc20ef62a89ef3b9121f388,Gas Station,43.690516,-79.574127
218,Petro-Canada,4d01605e2f03224bc11f60e2,Gas Station,43.627037,-79.631143
219,Canadian Tire Gas+,4c2a82ecbbc7e21eb4613582,Gas Station,43.61664701012986,-79.54554508751781
220,Petro-Canada,4cc89a5cd54fa1cdde933229,Gas Station,43.705891,-79.487841
221,Petro-Pass Truck Stop,57f799f2498ecadc383b59c9,Gas Station,43.759525,-79.489949
222,Sparkle Kleen Car Wash,55a80bdd498ed75377125d41,Car Wash,43.632926,-79.543317
223,Upscale Car Detailing Service,4ffef9438302e63b3273dd76,Car Wash,43.64529724280223,-79.56533874760432
224,Popular Car Wash & Detailing - FREE VACUUMS,4e2ad147d22d3f83c887b668,Car Wash,43.619796753,-79.562225342
225,Petro-Canada,4d1e0a25dd6a236aad1b2338,Gas Station,43.63635388508989,-79.47546326286736
226,Shell Car Wash,5c054216b77c77002c09f3b0,Car Wash,43.622384,-79.603437
227,Petro-Canada,4e3451c8a8092599edf8be1c,Gas Station,43.759759,-79.590726
228,0098 Optimum Car Care,56872f58498e36861fd7da29,Car Wash,43.7344798,-79.44647570000001
229,Canadian Tire Gas+,516499afe4b04a934b547361,Gas Station,43.74270475007968,-79.594644104551
230,Petro-Canada,4d222c352eb1f04d2e0dfec1,Gas Station,43.680812,-79.475829
231,Popular Car Wash & Detailing - Free Vacuums,4ef5036b754ac34454590eb8,Car Wash,43.713492,-79.5824237
232,Speedy Auto Service,4e56517ba809ca773dfe755e,Automotive Shop,43.63114627999663,-79.54612688068397
233,Ecomobile Auto Spa,51eead7a498ea99f321f6e54,Car Wash,43.743056,-79.527732
234,Ovation Car Wash,4fa7423fe4b0e7038ca31501,Car Wash,43.587889628610654,-79.64116155375625
235,GTA Pressure Cleaning & Restoration,50ad3e55e4b08e127b417964,Car Wash,43.666620678507925,-79.67120800013844
236,Rambo - The Car Cleaning Experts,4fc8f99ae4b032a186903686,Car Wash,43.755837,-79.437241
237,Junction Car Wash,5c2150b3ee7120002cf9cc28,Car Wash,43.665367,-79.476261
238,Valet Car Wash,51a3898c498e796163a60cf3,Car Wash,43.58897660073301,-79.5924717549748
239,Petro Car Wash,4dd80b83e4cd37c893bb6539,Car Wash,43.626756,-79.630059
240,Petro-Canada Car Wash,5a9cab07065ef5259c21d9d1,Car Wash,43.63616,-79.475334
241,Original Six Car Wash,4d56ddd6fb65236a88390bb4,Car Wash,43.60329569884899,-79.51892682188588
242,Greenage Car Wash,50e74f64e4b0531acf5b1715,Car Wash,43.6965441346506,-79.63124802988281
243,24 Hrs. Car Wash,5341a406498e89a4e2f3c775,Car Wash,43.58659531155124,-79.54879978829246
244,Wilson Car Wash,4ee503af722ea7b945b6db2d,Automotive Shop,43.715880448264286,-79.52642617501108
245,Weston Coin Car Wash,4becab5a8bbcc9283ca98cb1,Car Wash,43.7086000109898,-79.5342762282257
246,Jet Kleen Car Wash,4dbc450a4b222080d38d1dad,Automotive Shop,43.67207115275437,-79.46749630955917
247,Coin Op Car Wash,4d7d16fd5a396dcb65d781fb,Car Wash,43.70349107534574,-79.45147638779915
248,Keele Carwash Coin-Op,4f8d01d46b742e3bfcf42afc,Car Wash,43.7059027564556,-79.47715759277344
249,Petro Canada Car Wash,58cc148514fb41604232c278,Car Wash,43.61696,-79.54616
250,Esso Touchless Car Wash,52ffa137498e9ccff8cb1526,Car Wash,43.62392584986219,-79.5156655639394
251,Esso Self Service Car Wash,4da083e5e8a6721eef6c39a5,Car Wash,43.60113400909023,-79.63339203141408
252,Davinci Detailing Depot,4f3a809ae4b026b7f744bd0f,Car Wash,43.684188703955236,-79.48328366894417
253,OLCO Queensway Carwash,4b5f6524f964a520d8b729e3,Car Wash,43.624258900077564,-79.5109224242214
254,Mississauga Kar Kare,4b51d59cf964a5204f5727e3,Automotive Shop,43.58872478168298,-79.59275153019107
255,Soap &  Suds,5751c9aa498e15594b182d99,Car Wash,43.591938,-79.6357
256,Martino Bros. Car Wash,535279d6498eef77e3b94f72,Car Wash,43.6656,-79.4838
257,Petro-Canada,4ddb992bd4c009d3c58b7857,Gas Station,43.793968,-79.239585
258,Petro-Canada,4b940518f964a520dc6134e3,Gas Station,43.800817,-79.296738
259,Petro-Canada,4b9fa7def964a5201d3237e3,Gas Station,43.782892,-79.288497
260,Petro-Canada,4c361e9118e72d7fca4714f5,Gas Station,43.75795,-79.315187
261,Petro-Canada,4d3f1dc83ec9a35df6916081,Gas Station,43.775024,-79.333001
262,Canadian Tire Gas+,4b37b3bff964a520aa4425e3,Gas Station,43.84210294953461,-79.07030940055846
263,Petro-Pass Truck Stop,5a9d956dc9f90707b4aa129a,Gas Station,43.834051,-79.076913
264,Petro-Canada,4c1aab3ee9c4ef3bad7f45aa,Gas Station,43.819847,-79.326214
265,Petro-Canada,4c3fb24ace54e21ee181081a,Gas Station,43.782135,-79.234784
266,Canadian Tire Gas+,4c4229deff711b8d401f1305,Gas Station,43.852116,-79.255465
267,Canadian Tire Gas+,4edeb3d5b8f76b6e9cd76f27,Gas Station,43.78998337938359,-79.2596018621999
268,Petro-Canada,4b5aedfff964a520c2da28e3,Gas Station,43.84784,-79.073237
269,PetroCan Touchless Car Wash,4fa16808e4b0ac13aec1a22f,Car Wash,43.87131478841214,-79.26691537410922
270,Shell,4b65ec0ef964a52082082be3,Gas Station,43.85665670605055,-79.30528163909912
271,Excellent Car Wash & Care Centre星皇汽車護理洗車中心,513cc96ae4b06a870749afaf,Car Wash,43.82012113295353,-79.33184337261223
272,Midland Car Wash & Detailing,4f391a0fe4b0a1f1988c3ee2,Car Wash,43.75558,-79.26655
273,Dragon Car Wash,4e218e2988774a43b76a9d10,Car Wash,43.82348995413391,-79.30572461010443
274,Canadian Tire Gas+,4c64c59b772bef3be9b9c2aa,Gas Station,43.872585515035894,-79.28530443389455
